kind,asset,date,detail,reason
few_intraday_bars,ETH,2018-02-09,168/288 bars (58%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
source_divergence,BNB,2018-03-19,"|ln(a/b)|=0.0202 > max(0.02, day |ret|=0.0079)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-04-11,"|ln(a/b)|=0.0258 > max(0.02, day |ret|=0.0030)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
few_intraday_bars,BTC,2018-06-26,167/288 bars (58%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
few_intraday_bars,ETH,2018-06-26,168/288 bars (58%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
few_intraday_bars,BTC,2018-07-04,195/288 bars (68%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
few_intraday_bars,ETH,2018-07-04,195/288 bars (68%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
source_divergence,BTC,2018-10-13,"|ln(a/b)|=0.0216 > max(0.02, day |ret|=0.0010)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-13,"|ln(a/b)|=0.0234 > max(0.02, day |ret|=0.0123)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-13,"|ln(a/b)|=0.0249 > max(0.02, day |ret|=0.0014)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-14,"|ln(a/b)|=0.0250 > max(0.02, day |ret|=0.0024)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-14,"|ln(a/b)|=0.0253 > max(0.02, day |ret|=0.0235)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-14,"|ln(a/b)|=0.0217 > max(0.02, day |ret|=0.0063)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-15,"|ln(a/b)|=0.0470 > max(0.02, day |ret|=0.0412)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-16,"|ln(a/b)|=0.0450 > max(0.02, day |ret|=0.0030)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-16,"|ln(a/b)|=0.0447 > max(0.02, day |ret|=0.0041)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-16,"|ln(a/b)|=0.0463 > max(0.02, day |ret|=0.0244)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-17,"|ln(a/b)|=0.0452 > max(0.02, day |ret|=0.0030)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-17,"|ln(a/b)|=0.0445 > max(0.02, day |ret|=0.0102)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-17,"|ln(a/b)|=0.0460 > max(0.02, day |ret|=0.0039)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-18,"|ln(a/b)|=0.0342 > max(0.02, day |ret|=0.0072)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-18,"|ln(a/b)|=0.0352 > max(0.02, day |ret|=0.0223)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-18,"|ln(a/b)|=0.0340 > max(0.02, day |ret|=0.0189)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-19,"|ln(a/b)|=0.0226 > max(0.02, day |ret|=0.0021)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-19,"|ln(a/b)|=0.0238 > max(0.02, day |ret|=0.0054)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-19,"|ln(a/b)|=0.0236 > max(0.02, day |ret|=0.0082)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-20,"|ln(a/b)|=0.0277 > max(0.02, day |ret|=0.0039)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-20,"|ln(a/b)|=0.0258 > max(0.02, day |ret|=0.0121)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-20,"|ln(a/b)|=0.0281 > max(0.02, day |ret|=0.0008)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-21,"|ln(a/b)|=0.0269 > max(0.02, day |ret|=0.0011)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-21,"|ln(a/b)|=0.0258 > max(0.02, day |ret|=0.0021)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-21,"|ln(a/b)|=0.0304 > max(0.02, day |ret|=0.0028)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-22,"|ln(a/b)|=0.0267 > max(0.02, day |ret|=0.0011)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-22,"|ln(a/b)|=0.0279 > max(0.02, day |ret|=0.0060)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-22,"|ln(a/b)|=0.0274 > max(0.02, day |ret|=0.0009)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-23,"|ln(a/b)|=0.0243 > max(0.02, day |ret|=0.0019)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-23,"|ln(a/b)|=0.0233 > max(0.02, day |ret|=0.0006)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-23,"|ln(a/b)|=0.0249 > max(0.02, day |ret|=0.0062)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-24,"|ln(a/b)|=0.0234 > max(0.02, day |ret|=0.0028)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-24,"|ln(a/b)|=0.0237 > max(0.02, day |ret|=0.0028)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-24,"|ln(a/b)|=0.0245 > max(0.02, day |ret|=0.0042)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-25,"|ln(a/b)|=0.0201 > max(0.02, day |ret|=0.0034)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-10-26,"|ln(a/b)|=0.0208 > max(0.02, day |ret|=0.0003)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-10-26,"|ln(a/b)|=0.0212 > max(0.02, day |ret|=0.0038)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-10-26,"|ln(a/b)|=0.0227 > max(0.02, day |ret|=0.0014)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-11-11,"|ln(a/b)|=0.0210 > max(0.02, day |ret|=0.0104)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-11-12,"|ln(a/b)|=0.0207 > max(0.02, day |ret|=0.0023)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-11-12,"|ln(a/b)|=0.0218 > max(0.02, day |ret|=0.0037)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-11-12,"|ln(a/b)|=0.0238 > max(0.02, day |ret|=0.0107)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BTC,2018-11-13,"|ln(a/b)|=0.0298 > max(0.02, day |ret|=0.0084)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-11-13,"|ln(a/b)|=0.0301 > max(0.02, day |ret|=0.0227)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,BNB,2018-11-13,"|ln(a/b)|=0.0305 > max(0.02, day |ret|=0.0165)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
few_intraday_bars,BTC,2018-11-14,204/288 bars (71%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
few_intraday_bars,ETH,2018-11-14,204/288 bars (71%),"Binance exchange maintenance / unscheduled outage days (2018-2020), incl. the multi-day February 2018 upgrade. The daily return series (CoinMetrics reference) does not depend on Binance uptime. Realized measures on these days are computed on partial 5-minute bars and stay flagged for down-weighting in the realized-model evaluation."
source_divergence,BTC,2018-11-15,"|ln(a/b)|=0.0381 > max(0.02, day |ret|=0.0064)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
source_divergence,ETH,2018-11-15,"|ln(a/b)|=0.0374 > max(0.02, day |ret|=0.0051)","USDT/USD basis. Binance quotes BTCUSDT / ETHUSDT (Tether). USDT traded at a discount to USD through 2018 (down to ~0.92 in Oct 2018) and re-depegged around the NY Attorney General's action against Bitfinex/Tether (filed 2019-04-25). The canonical return series uses the CoinMetrics PriceUSD reference (true USD), so the study is unaffected; the flag confirms that choice. Divergence is negligible from mid-2019."
